# PyMovie Version 3.2.9
# source: J:\OCCULTATION-DATA\2020-07-29\Jabbah\2020-07-29-1718_2 (2).ser
#
# lunar background: False
# yellow mask = default: False
#
# aperture name: Jabbah
# ____ aperture size: 51
# ____ x,y: (317, 354)
# ____ threshold: 10
# ____ def mask radius: 3.2
# ____ color: red
# ____ joggable: False
# ____ auto textOut: False
# ____ thumbnail source: False
# ____ csv output order: 4
#
# aperture name: ref
# ____ aperture size: 51
# ____ x,y: (529, 65)
# ____ threshold: 8
# ____ def mask radius: 3.2
# ____ color: yellow
# ____ joggable: True
# ____ auto textOut: True
# ____ thumbnail source: True
# ____ csv output order: 5
#
# date at frame 0: 2020-7-29
# Begin SER meta-data =====================
# FileID: LUCAM-RECORDER
# LuID: 4660
# ColorID: 0
# LittleEndian: 0
# ImageWidth: 640
# ImageHeight: 640
# PixelDepthPerPlane: 8
# FrameCount: 13105
# NumTimestamps: 13105.0
# Observer: Observer                                
# Instrument: QHY174M                                 
# Telescope: telescope                               
# DateTimeLocal: 2020-7-30T00:17:22.0719081
# DateTimeUTC: 2020-7-29T17:17:22.0719081
# End SER meta-data =====================
FrameNum,timeInfo,signal-Jabbah,signal-ref,appsum-Jabbah,avgbkg-Jabbah,stdbkg-Jabbah,nmaskpx-Jabbah,maxpx-Jabbah,xcentroid-Jabbah,ycentroid-Jabbah,appsum-ref,avgbkg-ref,stdbkg-ref,nmaskpx-ref,maxpx-ref,xcentroid-ref,ycentroid-ref
4400.00,[17:17:58.7247828],2874.00,46.00,4719.00,32.95,4.60,56,255,314.34,354.45,658.00,16.55,3.16,-37,31,526.00,65.00
4401.00,[17:17:58.7328392],2845.00,45.00,4699.00,33.11,4.68,56,255,314.50,354.29,652.00,16.41,3.20,-37,33,526.00,65.00
4402.00,[17:17:58.7408955],2274.00,20.00,3992.00,33.04,4.66,52,255,314.31,354.60,636.00,16.65,3.15,-37,35,526.00,65.00
4403.00,[17:17:58.7489519],2336.00,83.00,3886.00,32.98,4.54,47,255,314.04,354.81,692.00,16.47,3.27,-37,32,526.00,65.00
4404.00,[17:17:58.7570083],2162.00,202.00,3637.00,32.79,4.59,45,255,313.87,354.71,398.00,16.29,3.23,12,55,529.50,65.50
4405.00,[17:17:58.7650647],2830.00,189.00,4664.00,32.76,4.69,56,255,313.79,355.50,803.00,16.59,3.27,-37,49,529.00,66.00
4406.00,[17:17:58.7731211],3379.00,67.00,5205.00,32.61,4.56,56,255,313.70,355.27,674.00,16.39,3.18,-37,44,529.00,66.00
4407.00,[17:17:58.7811774],3722.00,147.00,5575.00,32.51,4.57,57,255,313.37,355.33,753.00,16.39,3.16,-37,48,529.00,66.00
4408.00,[17:17:58.7892338],3409.00,184.00,5419.00,32.94,4.68,61,255,313.38,355.18,788.00,16.32,3.27,-37,55,529.00,66.00
4409.00,[17:17:58.7972902],3298.00,160.00,5203.00,32.85,4.66,58,255,313.69,355.12,307.00,16.36,3.26,9,50,529.33,66.11
