FrameNum,timeInfo,signal-track,signal-obj,appsum-track,avgbkg-track,stdbkg-track,nmaskpx-track,maxpx-track,xcentroid-track,ycentroid-track,appsum-obj,avgbkg-obj,stdbkg-obj,nmaskpx-obj,maxpx-obj,xcentroid-obj,ycentroid-obj
1401.00,[17:48:21.8008202],7009.00,-8542.00,563504.00,15040.40,358.28,-37,17552,221.00,273.00,1064096.00,28990.22,2079.95,-37,38704,187.00,128.00
1402.00,[17:48:21.8339216],6185.00,-8899.00,562720.00,15041.48,360.31,-37,18016,221.00,273.00,1063248.00,28976.96,2078.54,-37,39904,187.00,128.00
1403.00,[17:48:21.8670230],5370.00,-8948.00,561840.00,15039.73,305.92,-37,17104,221.00,273.00,1058752.00,28856.75,2038.57,-37,37968,187.00,128.00
1404.00,[17:48:21.9001243],8657.00,-11101.00,566560.00,15078.45,341.18,-37,17696,221.00,273.00,1060384.00,28959.05,2084.82,-37,37552,187.00,128.00
1405.00,[17:48:21.9332257],7629.00,-7424.00,563472.00,15022.79,327.23,-37,17232,221.00,273.00,1064016.00,28957.83,2109.99,-37,39152,187.00,128.00
1406.00,[17:48:21.9663271],6907.00,-9429.00,563472.00,15042.29,320.69,-37,17728,221.00,273.00,1063792.00,29005.97,2138.55,-37,39408,187.00,128.00
1407.00,[17:48:21.9994284],5387.00,-10546.00,560240.00,14996.03,299.83,-37,17488,221.00,273.00,1061024.00,28961.34,2151.77,-37,38144,187.00,128.00
1408.00,[17:48:22.0325309],7023.00,-7060.00,564976.00,15079.80,317.93,-37,17152,221.00,273.00,1062416.00,28904.75,2078.87,-37,39504,187.00,128.00
1409.00,[17:48:22.0656322],9661.00,-7240.00,567696.00,15082.03,328.98,-37,17216,221.00,273.00,1065024.00,28980.10,2187.87,-37,39840,187.00,128.00
1410.00,[17:48:22.0987336],9295.00,-8195.00,567024.00,15073.75,372.39,-37,17104,221.00,273.00,1063792.00,28972.61,2126.39,-37,39296,187.00,128.00
1411.00,[17:48:22.1318349],5570.00,-7961.00,561408.00,15022.66,338.82,-37,17152,221.00,273.00,1062064.00,28919.59,2084.93,-37,38672,187.00,128.00
1412.00,[17:48:22.1649363],7284.00,-11138.00,565232.00,15079.66,308.75,-37,18672,221.00,273.00,1058064.00,28897.36,2156.07,-37,39248,187.00,128.00
1413.00,[17:48:22.1980377],8554.00,-8630.00,565792.00,15060.47,331.83,-37,19264,221.00,273.00,1056032.00,28774.64,2039.87,-37,38208,187.00,128.00
1414.00,[17:48:22.2311390],9130.00,-8017.00,567184.00,15082.53,307.65,-37,17280,221.00,273.00,1056784.00,28778.39,2021.09,-37,38832,187.00,128.00
1415.00,[17:48:22.2642404],9136.00,-8708.00,564944.00,15021.85,354.78,-37,18720,221.00,273.00,1058688.00,28848.54,2016.25,-37,38128,187.00,128.00
1416.00,[17:48:22.2973418],7415.00,-11527.00,564208.00,15048.47,335.80,-37,17600,221.00,273.00,1056496.00,28865.48,2068.82,-37,37664,187.00,128.00
1417.00,[17:48:22.3304432],8922.00,-7916.00,565088.00,15031.52,322.84,-37,17024,221.00,273.00,1056736.00,28774.37,2037.64,-37,38608,187.00,128.00
1418.00,[17:48:22.3635446],6290.00,-12203.00,563760.00,15066.76,312.52,-37,17792,221.00,273.00,1054352.00,28825.82,2162.45,-37,37712,187.00,128.00
1419.00,[17:48:22.3966460],9341.00,-6683.00,566704.00,15063.86,361.94,-37,17232,221.00,273.00,1058320.00,28783.86,1988.46,-37,38144,187.00,128.00
1420.00,[17:48:22.4297474],6522.00,-9827.00,564688.00,15085.58,331.74,-37,16800,221.00,273.00,1059024.00,28887.86,2127.77,-37,38816,187.00,128.00
1421.00,[17:48:22.4628488],8551.00,-7572.00,567712.00,15112.47,347.49,-37,18480,221.00,273.00,1060320.00,28861.95,2052.36,-37,39312,187.00,128.00
1422.00,[17:48:22.4959502],4630.00,-6870.00,564304.00,15126.32,308.14,-37,17696,221.00,273.00,1065312.00,28977.90,2118.58,-37,39216,187.00,128.00
1423.00,[17:48:22.5290516],7934.00,-7372.00,565872.00,15079.39,332.64,-37,18608,221.00,273.00,1061760.00,28895.45,2030.80,-37,39008,187.00,128.00
1424.00,[17:48:22.5621530],9611.00,-8561.00,567360.00,15074.29,304.63,-37,19360,221.00,273.00,1062864.00,28957.42,2059.36,-37,38688,187.00,128.00
1425.00,[17:48:22.5952544],8386.00,-5305.00,567408.00,15108.71,355.80,-37,18368,221.00,273.00,1064272.00,28907.49,2037.45,-37,39520,187.00,128.00
1426.00,[17:48:22.6283558],7147.00,-4753.00,564896.00,15074.29,323.28,-37,18528,221.00,273.00,1069296.00,29028.34,2087.74,-37,38640,187.00,128.00
1427.00,[17:48:22.6614573],7667.00,-11240.00,566928.00,15115.16,285.47,-37,18480,221.00,273.00,1063712.00,29052.75,2138.88,-37,39584,187.00,128.00
1428.00,[17:48:22.6945587],7901.00,-12390.00,566928.00,15108.84,349.54,-37,18608,221.00,273.00,1065936.00,29143.93,2253.84,-37,38880,187.00,128.00
1429.00,[17:48:22.7276601],7130.00,-7185.00,566640.00,15121.88,313.61,-37,18128,221.00,273.00,1069392.00,29096.68,2085.23,-37,39312,187.00,128.00
1430.00,[17:48:22.7607616],7329.00,-9151.00,565600.00,15088.40,309.03,-37,19520,221.00,273.00,1068480.00,29125.15,2169.67,-37,40176,187.00,128.00
1431.00,[17:48:22.7938630],6991.00,-6640.00,565680.00,15099.70,285.82,-37,17840,221.00,273.00,1068528.00,29058.60,2060.06,-37,39536,187.00,128.00
1432.00,[17:48:22.8269645],8076.00,-5100.00,566192.00,15084.20,302.60,-37,19104,221.00,273.00,1071712.00,29103.03,2053.61,-37,39824,187.00,128.00
1433.00,[17:48:22.8600659],6433.00,-8373.00,567584.00,15166.25,324.54,-37,18752,221.00,273.00,1069264.00,29125.33,2096.46,-37,40560,187.00,128.00
1434.00,[17:48:22.8931674],8406.00,-9975.00,568896.00,15148.37,304.67,-37,18752,221.00,273.00,1066336.00,29089.49,2227.38,-37,40064,187.00,128.00
1435.00,[17:48:22.9262688],8599.00,-10788.00,569504.00,15159.59,326.28,-37,18848,221.00,273.00,1067008.00,29129.63,2117.22,-37,38928,187.00,128.00
1436.00,[17:48:22.9593703],5228.00,-9060.00,565280.00,15136.53,362.32,-37,18176,221.00,273.00,1070592.00,29179.80,2137.05,-37,39504,187.00,128.00
1437.00,[17:48:22.9924718],5529.00,-9692.00,565616.00,15137.49,331.13,-37,17424,221.00,273.00,1069840.00,29176.54,2194.98,-37,39568,187.00,128.00
1438.00,[17:48:23.0255745],6756.00,-6415.00,567584.00,15157.51,342.77,-37,17232,221.00,273.00,1070256.00,29099.21,2094.89,-37,39760,187.00,128.00
1439.00,[17:48:23.0586760],8733.00,-8132.00,570240.00,15175.87,370.88,-37,18560,221.00,273.00,1071872.00,29189.29,2136.00,-37,39296,187.00,128.00
1440.00,[17:48:23.0917775],7903.00,-7884.00,569616.00,15181.42,330.47,-37,17760,221.00,273.00,1068512.00,29091.80,2125.17,-37,39536,187.00,128.00
1441.00,[17:48:23.1248790],5330.00,-3424.00,565312.00,15134.66,299.67,-37,17296,221.00,273.00,1071408.00,29049.52,2054.53,-37,38928,187.00,128.00
1442.00,[17:48:23.1579805],7327.00,-8979.00,567280.00,15133.87,331.31,-37,17952,221.00,273.00,1066896.00,29077.69,2118.96,-37,38832,187.00,128.00
1443.00,[17:48:23.1910820],5225.00,-11518.00,565104.00,15131.87,309.35,-37,17824,221.00,273.00,1064848.00,29090.98,2160.09,-37,39360,187.00,128.00
1444.00,[17:48:23.2241835],10976.00,-9538.00,568464.00,15067.25,302.64,-37,18928,221.00,273.00,1066256.00,29075.53,2150.68,-37,39088,187.00,128.00
1445.00,[17:48:23.2572850],8057.00,-8712.00,568656.00,15151.33,321.97,-37,19248,221.00,273.00,1065648.00,29036.75,2106.89,-37,39856,187.00,128.00
1446.00,[17:48:23.2903865],10511.00,-5873.00,571120.00,15151.60,327.98,-37,19440,221.00,273.00,1063248.00,28895.17,1856.70,-37,39312,187.00,128.00
1447.00,[17:48:23.3234880],7845.00,-8063.00,569728.00,15186.02,368.99,-37,19008,221.00,273.00,1065920.00,29026.58,2098.58,-37,38432,187.00,128.00
1448.00,[17:48:23.3565896],9589.00,-8680.00,569536.00,15133.69,309.55,-37,18000,221.00,273.00,1062400.00,28948.10,1956.52,-37,38496,187.00,128.00
1449.00,[17:48:23.3896911],4911.00,-6763.00,565328.00,15146.40,323.46,-37,17040,221.00,273.00,1063360.00,28922.26,2033.98,-37,39184,187.00,128.00
1450.00,[17:48:23.4227926],8505.00,-7871.00,569104.00,15151.32,343.12,-37,17568,221.00,273.00,1062192.00,28920.62,2011.38,-37,38320,187.00,128.00
1451.00,[17:48:23.4558941],9334.00,-10412.00,570176.00,15157.88,326.48,-37,18144,221.00,273.00,1062096.00,28986.71,2134.86,-37,38608,187.00,128.00
1452.00,[17:48:23.4889957],9718.00,-12144.00,571312.00,15178.22,352.10,-37,18752,221.00,273.00,1061744.00,29024.00,2138.76,-37,39584,187.00,128.00
1453.00,[17:48:23.5220972],5708.00,-7242.00,566352.00,15152.54,359.74,-37,18032,221.00,273.00,1065776.00,29000.48,2057.22,-37,39232,187.00,128.00
1454.00,[17:48:23.5551988],9341.00,-7494.00,572272.00,15214.36,296.65,-37,18016,221.00,273.00,1068336.00,29076.47,2107.25,-37,39456,187.00,128.00
1455.00,[17:48:23.5883003],7725.00,-7866.00,569424.00,15181.04,311.95,-37,17968,221.00,273.00,1064560.00,28984.48,2051.26,-37,39024,187.00,128.00
1456.00,[17:48:23.6214019],10606.00,-7209.00,571280.00,15153.34,337.20,-37,19232,221.00,273.00,1066704.00,29024.68,2034.61,-37,39440,187.00,128.00
1457.00,[17:48:23.6545035],6313.00,-8753.00,568544.00,15195.43,296.68,-37,18976,221.00,273.00,1067904.00,29098.85,2163.10,-37,39920,187.00,128.00
1458.00,[17:48:23.6876050],7371.00,-11603.00,569440.00,15191.05,323.94,-37,18464,221.00,273.00,1062320.00,29024.95,2109.04,-37,38992,187.00,128.00
1459.00,[17:48:23.7207066],10728.00,-9628.00,573312.00,15204.97,366.86,-37,18608,221.00,273.00,1070416.00,29190.37,2190.14,-37,39568,187.00,128.00
1460.00,[17:48:23.7538082],8928.00,-7982.00,569136.00,15140.75,343.34,-37,18032,221.00,273.00,1071600.00,29177.90,2261.87,-37,40320,187.00,128.00
1461.00,[17:48:23.7869098],6941.00,-10149.00,569152.00,15194.89,330.00,-37,17072,221.00,273.00,1065520.00,29072.14,2102.65,-37,39344,187.00,128.00
1462.00,[17:48:23.8200114],6946.00,-8378.00,567888.00,15160.61,322.41,-37,17680,221.00,273.00,1066704.00,29056.27,2088.72,-37,39584,187.00,128.00
1463.00,[17:48:23.8531129],8161.00,-6696.00,570944.00,15210.35,337.27,-37,18592,221.00,273.00,1073168.00,29185.50,2104.39,-37,40256,187.00,128.00
1464.00,[17:48:23.8862145],4696.00,-7493.00,566016.00,15170.82,309.83,-37,18128,221.00,273.00,1070800.00,29143.05,2125.13,-37,38400,187.00,128.00
1465.00,[17:48:23.9193161],6368.00,-12507.00,568544.00,15193.95,352.43,-37,18416,221.00,273.00,1069520.00,29243.97,2198.96,-37,38848,187.00,128.00
1466.00,[17:48:23.9524178],8253.00,-7630.00,571008.00,15209.60,368.92,-37,18944,221.00,273.00,1072208.00,29184.81,2144.71,-37,39024,187.00,128.00
1467.00,[17:48:23.9855194],7035.00,-6343.00,568976.00,15187.60,333.35,-37,19232,221.00,273.00,1075040.00,29226.58,2117.03,-37,39744,187.00,128.00
1468.00,[17:48:24.0186182],6385.00,-9289.00,567552.00,15166.67,353.07,-37,19616,221.00,273.00,1066992.00,29088.68,2087.99,-37,39072,187.00,128.00
1469.00,[17:48:24.0517198],8837.00,-9219.00,570864.00,15189.92,335.36,-37,20320,221.00,273.00,1067248.00,29093.69,2136.09,-37,39232,187.00,128.00
1470.00,[17:48:24.0848214],8830.00,-6243.00,570320.00,15175.39,348.20,-37,18880,221.00,273.00,1068672.00,29051.76,2011.67,-37,38688,187.00,128.00
1471.00,[17:48:24.1179230],7496.00,-6684.00,570528.00,15217.08,352.62,-37,18576,221.00,273.00,1068864.00,29068.85,2101.09,-37,39280,187.00,128.00
1472.00,[17:48:24.1510246],9311.00,-7359.00,570432.00,15165.45,351.21,-37,18848,221.00,273.00,1070528.00,29132.07,2143.97,-37,39664,187.00,128.00
1473.00,[17:48:24.1841262],7692.00,-9160.00,569520.00,15184.53,331.63,-37,18672,221.00,273.00,1068576.00,29128.00,2166.80,-37,39136,187.00,128.00
1474.00,[17:48:24.2172278],7575.00,-5842.00,569776.00,15194.62,348.25,-37,18544,221.00,273.00,1067056.00,28997.24,1993.82,-37,39200,187.00,128.00
1475.00,[17:48:24.2503294],9529.00,-4168.00,569888.00,15144.83,290.12,-37,18512,221.00,273.00,1071200.00,29064.00,1971.57,-37,39536,187.00,128.00
1476.00,[17:48:24.2834310],10195.00,-9635.00,571680.00,15175.26,308.03,-37,19088,221.00,273.00,1069792.00,29173.69,2147.42,-37,38896,187.00,128.00
1477.00,[17:48:24.3165325],10345.00,-5288.00,571200.00,15158.24,344.32,-37,18768,221.00,273.00,1069008.00,29035.03,2007.52,-37,39328,187.00,128.00
1478.00,[17:48:24.3496341],6407.00,-10116.00,566992.00,15150.93,359.80,-37,18416,221.00,273.00,1069712.00,29184.55,2092.98,-37,40144,187.00,128.00
1479.00,[17:48:24.3827357],7379.00,-7300.00,566784.00,15119.05,339.14,-37,19216,221.00,273.00,1071456.00,29155.56,2133.81,-37,40144,187.00,128.00
1480.00,[17:48:24.4158373],6814.00,-4989.00,567632.00,15157.24,303.80,-37,18304,221.00,273.00,1074384.00,29172.24,2035.40,-37,39904,187.00,128.00
1481.00,[17:48:24.4489388],8674.00,-7914.00,568432.00,15128.61,317.25,-37,17664,221.00,273.00,1072320.00,29195.53,2129.10,-37,38640,187.00,128.00
1482.00,[17:48:24.4820404],5908.00,-7149.00,566592.00,15153.61,322.51,-37,18048,221.00,273.00,1070544.00,29126.84,2100.94,-37,38784,187.00,128.00
1483.00,[17:48:24.5151419],7476.00,-11499.00,569408.00,15187.36,308.85,-37,17584,221.00,273.00,1069584.00,29218.46,2122.65,-37,39680,187.00,128.00
1484.00,[17:48:24.5482435],7309.00,-6398.00,568736.00,15173.69,334.00,-37,18096,221.00,273.00,1077008.00,29281.23,2064.73,-37,40176,187.00,128.00
1485.00,[17:48:24.5813450],4074.00,-7674.00,565424.00,15171.63,344.98,-37,16720,221.00,273.00,1076048.00,29289.79,2080.33,-37,40864,187.00,128.00
1486.00,[17:48:24.6144465],7934.00,-8776.00,570608.00,15207.39,338.20,-37,17440,221.00,273.00,1077296.00,29353.30,2186.81,-37,40528,187.00,128.00
1487.00,[17:48:24.6475481],10118.00,-3904.00,570944.00,15157.47,328.13,-37,17856,221.00,273.00,1079344.00,29276.97,2020.88,-37,41024,187.00,128.00
1488.00,[17:48:24.6806496],7850.00,-11192.00,570912.00,15217.90,309.63,-37,18000,221.00,273.00,1076688.00,29402.17,2282.86,-37,40320,187.00,128.00
1489.00,[17:48:24.7137511],10940.00,-11810.00,574656.00,15235.56,310.25,-37,18896,221.00,273.00,1076416.00,29411.53,2213.61,-37,40272,187.00,128.00
1490.00,[17:48:24.7468526],10041.00,-6161.00,572928.00,15213.15,322.60,-37,18640,221.00,273.00,1080016.00,29356.14,2096.73,-37,41008,187.00,128.00
1491.00,[17:48:24.7799541],7533.00,-4678.00,569968.00,15200.94,309.43,-37,18832,221.00,273.00,1079856.00,29311.72,2127.38,-37,40368,187.00,128.00
1492.00,[17:48:24.8130556],5321.00,-13360.00,567632.00,15197.60,337.37,-37,18496,221.00,273.00,1073632.00,29378.17,2236.72,-37,40688,187.00,128.00
1493.00,[17:48:24.8461571],6423.00,-6402.00,569296.00,15212.77,330.27,-37,18016,221.00,273.00,1077504.00,29294.77,2097.18,-37,40720,187.00,128.00
1494.00,[17:48:24.8792586],8666.00,-10225.00,571280.00,15205.78,342.17,-37,18112,221.00,273.00,1076000.00,29357.42,2233.27,-37,40528,187.00,128.00
1495.00,[17:48:24.9123601],6775.00,-5575.00,569920.00,15220.13,354.97,-37,18272,221.00,273.00,1076336.00,29240.83,2031.41,-37,39424,187.00,128.00
1496.00,[17:48:24.9454616],6296.00,-7472.00,568512.00,15195.03,327.09,-37,17824,221.00,273.00,1076816.00,29305.08,2198.77,-37,39984,187.00,128.00
1497.00,[17:48:24.9785631],7315.00,-11395.00,570800.00,15229.33,349.73,-37,18160,221.00,273.00,1072512.00,29294.78,2182.28,-37,39408,187.00,128.00
1498.00,[17:48:25.0116617],3914.00,-9296.00,566832.00,15214.00,344.83,-37,17808,221.00,273.00,1070912.00,29194.80,2085.13,-37,39280,187.00,128.00
1499.00,[17:48:25.0447631],5716.00,-5976.00,567840.00,15192.53,307.02,-37,18672,221.00,273.00,1078016.00,29297.08,2187.40,-37,39424,187.00,128.00
1500.00,[17:48:25.0778646],6569.00,-10447.00,569216.00,15206.67,322.80,-37,18800,221.00,273.00,1073440.00,29294.24,2217.06,-37,40320,187.00,128.00
1501.00,[17:48:25.1109661],7780.00,-8312.00,570560.00,15210.27,368.83,-37,18032,221.00,273.00,1071248.00,29177.30,2095.59,-37,40160,187.00,128.00
1502.00,[17:48:25.1440675],6996.00,-11373.00,569600.00,15205.51,295.01,-37,18352,221.00,273.00,1071360.00,29263.05,2168.25,-37,39680,187.00,128.00
1503.00,[17:48:25.1771690],12437.00,-12405.00,574464.00,15189.92,346.22,-37,19696,221.00,273.00,1067696.00,29191.93,2175.24,-37,39936,187.00,128.00
1504.00,[17:48:25.2102704],8078.00,-7017.00,570960.00,15213.02,327.82,-37,18432,221.00,273.00,1073808.00,29211.49,2079.38,-37,40512,187.00,128.00
1505.00,[17:48:25.2433719],5011.00,-10477.00,567792.00,15210.31,287.87,-37,16880,221.00,273.00,1069968.00,29201.22,2149.39,-37,40112,187.00,128.00
1506.00,[17:48:25.2764733],6975.00,-9903.00,569952.00,15215.60,345.79,-37,18192,221.00,273.00,1070512.00,29200.41,2123.87,-37,38144,187.00,128.00
1507.00,[17:48:25.3095748],9049.00,-5866.00,572688.00,15233.48,331.20,-37,18832,221.00,273.00,1072672.00,29149.68,2019.48,-37,38064,187.00,128.00
