FrameNum,timeInfo,signal-obj,appsum-obj,avgbkg-obj,stdbkg-obj,nmaskpx-obj,maxpx-obj,xcentroid-obj,ycentroid-obj
1801.00,[20:43:44.9909103],-3338.00,327456.00,8940.39,1518.21,-37,15504,171.00,233.00
1802.00,[20:43:45.0240076],-450.00,332960.00,9011.09,1535.88,-37,14080,171.00,233.00
1803.00,[20:43:45.0571090],7806.00,339520.00,8965.23,1582.49,-37,14480,171.00,233.00
1804.00,[20:43:45.0902105],-445.00,332560.00,9000.13,1527.86,-37,14704,171.00,233.00
1805.00,[20:43:45.1233119],-6939.00,323744.00,8937.38,1570.19,-37,14256,171.00,233.00
1806.00,[20:43:45.1564133],-345.00,331408.00,8966.29,1506.35,-37,14992,171.00,233.00
1807.00,[20:43:45.1895147],3395.00,337584.00,9032.14,1582.00,-37,14256,171.00,233.00
1808.00,[20:43:45.2226162],11707.00,344272.00,8988.25,1553.73,-37,13520,171.00,233.00
1809.00,[20:43:45.2557176],10104.00,344496.00,9037.63,1544.43,-37,14544,171.00,233.00
1810.00,[20:43:45.2888190],-9939.00,322592.00,8987.33,1549.80,-37,14368,171.00,233.00
1811.00,[20:43:45.3219204],1359.00,332880.00,8960.04,1593.08,-37,13776,171.00,233.00
1812.00,[20:43:45.3550218],-7073.00,327520.00,9043.06,1550.38,-37,14976,171.00,233.00
1813.00,[20:43:45.3881232],-7860.00,327744.00,9070.37,1525.56,-37,14144,171.00,233.00
1814.00,[20:43:45.4212245],8000.00,337888.00,8915.90,1485.00,-37,14304,171.00,233.00
1815.00,[20:43:45.4543259],11257.00,343168.00,8970.56,1559.39,-37,14816,171.00,233.00
1816.00,[20:43:45.4874273],-19826.00,314256.00,9029.23,1511.56,-37,13696,171.00,233.00
1817.00,[20:43:45.5205287],-10739.00,323504.00,9033.60,1546.14,-37,14416,171.00,233.00
1818.00,[20:43:45.5536300],8633.00,338320.00,8910.46,1535.83,-37,15312,171.00,233.00
1819.00,[20:43:45.5867314],-7272.00,327408.00,9045.42,1573.85,-37,16528,171.00,233.00
1820.00,[20:43:45.6198328],-2632.00,333408.00,9082.15,1620.94,-37,14304,171.00,233.00
1821.00,[20:43:45.6529341],11541.00,348016.00,9093.93,1573.19,-37,14656,171.00,233.00
1822.00,[20:43:45.6860355],8884.00,343280.00,9037.74,1566.48,-37,14704,171.00,233.00
1823.00,[20:43:45.7191368],-13936.00,321664.00,9070.28,1540.55,-37,14704,171.00,233.00
1824.00,[20:43:45.7522382],5467.00,338048.00,8988.68,1519.75,-37,14640,171.00,233.00
1825.00,[20:43:45.7853395],6814.00,340272.00,9012.38,1528.24,-37,16176,171.00,233.00
1826.00,[20:43:45.8184409],-1951.00,331776.00,9019.64,1600.63,-37,14288,171.00,233.00
1827.00,[20:43:45.8515422],4929.00,340064.00,9057.70,1581.14,-37,14800,171.00,233.00
1828.00,[20:43:45.8846435],-4399.00,329616.00,9027.43,1549.66,-37,14464,171.00,233.00
1829.00,[20:43:45.9177448],-2971.00,330064.00,9000.94,1536.03,-37,14544,171.00,233.00
1830.00,[20:43:45.9508461],-8588.00,325488.00,9029.09,1572.15,-37,15456,171.00,233.00
1831.00,[20:43:45.9839475],4006.00,337488.00,9013.02,1526.33,-37,14304,171.00,233.00
1832.00,[20:43:46.0170488],-265.00,335440.00,9073.12,1578.70,-37,14976,171.00,233.00
1833.00,[20:43:46.0501501],20201.00,350704.00,8932.52,1538.55,-37,15376,171.00,233.00
1834.00,[20:43:46.0832514],-20801.00,310224.00,8946.63,1581.69,-37,14464,171.00,233.00
1835.00,[20:43:46.1163527],-719.00,332880.00,9016.20,1517.09,-37,14304,171.00,233.00
1836.00,[20:43:46.1494540],9925.00,342736.00,8994.90,1554.79,-37,14240,171.00,233.00
1837.00,[20:43:46.1825554],-3784.00,329616.00,9010.81,1560.80,-37,14704,171.00,233.00
1838.00,[20:43:46.2156567],1607.00,336720.00,9057.12,1558.07,-37,14528,171.00,233.00
1839.00,[20:43:46.2487580],9186.00,339520.00,8927.95,1585.74,-37,14352,171.00,233.00
1840.00,[20:43:46.2818594],-756.00,332768.00,9014.16,1548.08,-37,14304,171.00,233.00
1841.00,[20:43:46.3149607],133.00,333968.00,9022.58,1560.23,-37,15376,171.00,233.00
1842.00,[20:43:46.3480621],9712.00,342464.00,8993.30,1556.38,-37,14704,171.00,233.00
1843.00,[20:43:46.3811634],3673.00,339168.00,9067.44,1583.18,-37,14864,171.00,233.00
1844.00,[20:43:46.4142648],-18417.00,316496.00,9051.70,1561.06,-37,14592,171.00,233.00
1845.00,[20:43:46.4473661],7294.00,339088.00,8967.41,1540.91,-37,14304,171.00,233.00
1846.00,[20:43:46.4804675],3922.00,338352.00,9038.64,1503.16,-37,14416,171.00,233.00
1847.00,[20:43:46.5135689],-10549.00,322416.00,8999.04,1550.45,-37,14752,171.00,233.00
1848.00,[20:43:46.5466702],-6178.00,326048.00,8979.07,1573.28,-37,14480,171.00,233.00
1849.00,[20:43:46.5797716],12037.00,345456.00,9011.33,1579.51,-37,14576,171.00,233.00
1850.00,[20:43:46.6128730],-6969.00,325808.00,8993.96,1483.45,-37,14144,171.00,233.00
1851.00,[20:43:46.6459744],2047.00,333088.00,8947.05,1572.81,-37,16192,171.00,233.00
1852.00,[20:43:46.6790758],957.00,337440.00,9094.15,1527.60,-37,14528,171.00,233.00
