FrameNum,timeInfo,signal-obj,signal-track,appsum-obj,avgbkg-obj,stdbkg-obj,nmaskpx-obj,maxpx-obj,xcentroid-obj,ycentroid-obj,appsum-track,avgbkg-track,stdbkg-track,nmaskpx-track,maxpx-track,xcentroid-track,ycentroid-track
5000.00,[14:04:20.9197347],420288.00,40738.00,1036288.00,11200.00,964.73,55,51744,374.15,418.95,398608.00,9672.17,860.24,-37,15360,196.00,146.00
5001.00,[14:04:20.9298345],464140.00,30647.00,1135856.00,11195.27,1033.79,60,52608,374.35,419.02,387072.00,9633.12,827.62,-37,13696,196.00,146.00
5002.00,[14:04:20.9399342],492350.00,45533.00,1142096.00,11202.52,1017.50,58,53840,374.34,419.24,403552.00,9676.20,884.67,-37,13664,196.00,146.00
5003.00,[14:04:20.9500339],397106.00,42665.00,1003536.00,11230.18,1036.44,54,46496,373.96,419.35,400784.00,9678.88,856.23,-37,14368,196.00,146.00
5004.00,[14:04:20.9601337],380007.00,35616.00,994064.00,11164.67,1038.34,55,55824,373.91,419.07,391248.00,9611.67,847.38,-37,15488,196.00,146.00
5005.00,[14:04:20.9702334],404644.00,33669.00,1020160.00,11191.19,991.25,55,61456,373.73,418.95,391632.00,9674.68,878.17,-37,14368,196.00,146.00
5006.00,[14:04:20.9803332],487946.00,44152.00,1082928.00,11226.07,1012.14,53,63040,373.72,419.04,402512.00,9685.42,931.76,-37,14112,196.00,146.00
5007.00,[14:04:20.9904329],455782.00,33471.00,1069936.00,11166.44,1020.37,55,52928,374.15,419.51,390304.00,9644.13,866.83,-37,15104,196.00,146.00
5008.00,[14:04:21.0005341],426794.00,37844.00,1042128.00,11187.89,989.44,55,47456,374.16,419.24,397776.00,9727.88,850.87,-37,14656,196.00,146.00
5009.00,[14:04:21.0106338],406928.00,32918.00,1006480.00,11102.81,926.42,54,46240,374.31,419.24,391280.00,9685.46,890.25,-37,14304,196.00,146.00
5010.00,[14:04:21.0207336],414491.00,44971.00,1042672.00,11217.51,989.02,56,48672,374.34,419.27,402336.00,9658.51,874.75,-37,14784,196.00,146.00
5011.00,[14:04:21.0308333],441740.00,34699.00,1069536.00,11210.64,1017.81,56,51712,374.39,419.41,392256.00,9663.70,856.32,-37,13728,196.00,146.00
