FrameNum,timeInfo,signal-ap11,appsum-ap11,avgbkg-ap11,stdbkg-ap11,nmaskpx-ap11,maxpx-ap11,xcentroid-ap11,ycentroid-ap11
1501.00,[17:48:25.1109661],-8312.00,1071248.00,29177.30,2095.59,-37,40160,187.00,128.00
1502.00,[17:48:25.1440675],-11373.00,1071360.00,29263.05,2168.25,-37,39680,187.00,128.00
1503.00,[17:48:25.1771690],-12405.00,1067696.00,29191.93,2175.24,-37,39936,187.00,128.00
1504.00,[17:48:25.2102704],-7017.00,1073808.00,29211.49,2079.38,-37,40512,187.00,128.00
1505.00,[17:48:25.2433719],-10477.00,1069968.00,29201.22,2149.39,-37,40112,187.00,128.00
1506.00,[17:48:25.2764733],-9903.00,1070512.00,29200.41,2123.87,-37,38144,187.00,128.00
1507.00,[17:48:25.3095748],-5866.00,1072672.00,29149.68,2019.48,-37,38064,187.00,128.00
1508.00,[17:48:25.3426762],-9921.00,1070128.00,29190.51,2107.28,-37,38864,187.00,128.00
1509.00,[17:48:25.3757776],-7125.00,1071088.00,29140.88,2075.04,-37,38128,187.00,128.00
1510.00,[17:48:25.4088791],-11545.00,1066000.00,29122.85,2112.94,-37,39056,187.00,128.00
1511.00,[17:48:25.4419805],-8918.00,1072912.00,29238.64,2197.91,-37,39760,187.00,128.00
1512.00,[17:48:25.4750819],-11674.00,1070592.00,29250.44,2181.73,-37,40096,187.00,128.00
1513.00,[17:48:25.5081833],-3280.00,1080384.00,29288.21,2156.77,-37,40160,187.00,128.00
1514.00,[17:48:25.5412847],-10868.00,1071072.00,29241.63,2179.84,-37,39408,187.00,128.00
1515.00,[17:48:25.5743861],-8569.00,1071936.00,29202.85,2138.37,-37,39424,187.00,128.00
1516.00,[17:48:25.6074875],-11291.00,1071984.00,29277.69,2171.51,-37,39840,187.00,128.00
1517.00,[17:48:25.6405889],-7189.00,1068720.00,29078.62,2042.52,-37,40080,187.00,128.00
1518.00,[17:48:25.6736903],-8626.00,1073424.00,29244.58,2120.08,-37,40544,187.00,128.00
1519.00,[17:48:25.7067917],-7004.00,1075408.00,29254.37,2110.15,-37,39680,187.00,128.00
1520.00,[17:48:25.7398931],-8008.00,1076288.00,29305.30,2146.35,-37,40416,187.00,128.00
1521.00,[17:48:25.7729945],-3528.00,1077680.00,29221.84,1984.01,-37,40320,187.00,128.00
1522.00,[17:48:25.8060959],-9981.00,1076496.00,29364.24,2265.83,-37,41232,187.00,128.00
1523.00,[17:48:25.8391972],-6435.00,1082192.00,29422.36,2280.13,-37,40992,187.00,128.00
1524.00,[17:48:25.8722986],-10347.00,1078672.00,29432.95,2221.76,-37,39872,187.00,128.00
1525.00,[17:48:25.9054000],-4364.00,1078384.00,29263.45,2092.13,-37,39584,187.00,128.00
1526.00,[17:48:25.9385013],-12438.00,1073056.00,29337.68,2314.34,-37,40128,187.00,128.00
1527.00,[17:48:25.9716027],-8368.00,1074592.00,29269.20,2161.59,-37,40448,187.00,128.00
1528.00,[17:48:26.0047052],-7369.00,1073488.00,29212.34,2067.57,-37,39120,187.00,128.00
1529.00,[17:48:26.0378066],-13500.00,1070800.00,29305.41,2304.84,-37,39024,187.00,128.00
1530.00,[17:48:26.0709079],-12299.00,1071472.00,29291.12,2179.34,-37,40272,187.00,128.00
1531.00,[17:48:26.1040093],-12531.00,1070352.00,29267.12,2188.92,-37,39680,187.00,128.00
1532.00,[17:48:26.1371106],-10855.00,1077216.00,29407.32,2150.12,-37,40400,187.00,128.00
1533.00,[17:48:26.1702120],-6894.00,1081248.00,29409.23,2191.76,-37,40016,187.00,128.00
