FrameNum,timeInfo,signal-target
2801.00,[12:56:56.9572],417856
2802.00,[12:56:56.9773],331218
2803.00,[12:56:56.9973],382878
2804.00,[12:56:57.0174],383219
2805.00,[12:56:57.0374],373990
2806.00,[12:56:57.0574],314459
2807.00,[12:56:57.0775],390642
2808.00,[12:56:57.0975],400372
2809.00,[12:56:57.1176],387607
2810.00,[12:56:57.1376],379521
2811.00,[12:56:57.1576],410461
2812.00,[12:56:57.1777],395406
2813.00,[12:56:57.1977],364562
2814.00,[12:56:57.2178],396841
2815.00,[12:56:57.2378],442588
2816.00,[12:56:57.2578],394157
2817.00,[12:56:57.2779],401084
2818.00,[12:56:57.2979],333487
2819.00,[12:56:57.3179],389579
2820.00,[12:56:57.3380],338722
2821.00,[12:56:57.3580],369523
2822.00,[12:56:57.3781],413082
2823.00,[12:56:57.3981],404353
2824.00,[12:56:57.4181],428390
2825.00,[12:56:57.4382],389619
2826.00,[12:56:57.4582],429356
2827.00,[12:56:57.4783],462426
2828.00,[12:56:57.4983],406572
2829.00,[12:56:57.5183],371382
2830.00,[12:56:57.5384],427428
2831.00,[12:56:57.5584],344384
2832.00,[12:56:57.5784],346556
2833.00,[12:56:57.5985],374096
2834.00,[12:56:57.6185],389037
2835.00,[12:56:57.6386],370256
2836.00,[12:56:57.6586],354116
2837.00,[12:56:57.6786],372688
2838.00,[12:56:57.6987],404882
2839.00,[12:56:57.7187],362728
2840.00,[12:56:57.7388],408575
2841.00,[12:56:57.7588],334885
2842.00,[12:56:57.7788],361665
2843.00,[12:56:57.7989],398818
2844.00,[12:56:57.8189],413712
2845.00,[12:56:57.8390],339913
2846.00,[12:56:57.8590],356824
2847.00,[12:56:57.8790],373811
2848.00,[12:56:57.8991],354666
2849.00,[12:56:57.9191],371941
2850.00,[12:56:57.9391],424388
2851.00,[12:56:57.9592],342797
2852.00,[12:56:57.9792],392577
2853.00,[12:56:57.9993],378112
2854.00,[12:56:58.0193],394067
2855.00,[12:56:58.0393],397626
2856.00,[12:56:58.0594],356329
2857.00,[12:56:58.0794],384380
2858.00,[12:56:58.0995],396076
2859.00,[12:56:58.1195],397431
2860.00,[12:56:58.1395],397693
2861.00,[12:56:58.1596],352366
2862.00,[12:56:58.1796],414628
2863.00,[12:56:58.1996],395776
2864.00,[12:56:58.2197],446051
2865.00,[12:56:58.2397],438854
2866.00,[12:56:58.2598],376634
2867.00,[12:56:58.2798],397692
2868.00,[12:56:58.2998],406970
2869.00,[12:56:58.3199],395348
2870.00,[12:56:58.3399],357543
2871.00,[12:56:58.3600],375205
2872.00,[12:56:58.3800],385321
2873.00,[12:56:58.4000],399275
2874.00,[12:56:58.4201],384932
2875.00,[12:56:58.4401],381832
2876.00,[12:56:58.4602],404744
2877.00,[12:56:58.4802],393543
2878.00,[12:56:58.5002],378617
2879.00,[12:56:58.5203],357455
2880.00,[12:56:58.5403],380616
2881.00,[12:56:58.5603],381887
2882.00,[12:56:58.5804],457589
2883.00,[12:56:58.6004],431056
2884.00,[12:56:58.6205],409111
2885.00,[12:56:58.6405],439078
2886.00,[12:56:58.6605],407441
2887.00,[12:56:58.6806],396746
2888.00,[12:56:58.7006],364328
2889.00,[12:56:58.7207],317401
2890.00,[12:56:58.7407],356008
2891.00,[12:56:58.7607],419232
2892.00,[12:56:58.7808],353878
2893.00,[12:56:58.8008],355728
2894.00,[12:56:58.8208],433835
2895.00,[12:56:58.8409],408804
2896.00,[12:56:58.8609],355687
2897.00,[12:56:58.8810],349039
2898.00,[12:56:58.9010],332299
2899.00,[12:56:58.9210],299192
2900.00,[12:56:58.9411],333532
2901.00,[12:56:58.9611],406371
