FrameNum,timeInfo,signal-stack,appsum-stack,avgbkg-stack,stdbkg-stack,nmaskpx-stack,maxpx-stack,xcentroid-stack,ycentroid-stack
4500.00,[17:09:45.7436823],46845.00,2707504.00,8393.25,780.65,-317,11600,492.00,329.00
4501.00,[17:09:45.7537817],25380.00,2682416.00,8381.82,772.19,-317,11600,492.00,329.00
4502.00,[17:09:45.7638811],36268.00,2690640.00,8373.41,776.49,-317,11056,492.00,329.00
4503.00,[17:09:45.7739805],49749.00,2713680.00,8403.57,797.94,-317,12176,492.00,329.00
4504.00,[17:09:45.7840800],53264.00,2708592.00,8376.43,790.81,-317,11696,492.00,329.00
4505.00,[17:09:45.7941794],19541.00,2683792.00,8404.58,793.46,-317,11376,492.00,329.00
4506.00,[17:09:45.8042788],23488.00,2677392.00,8371.94,795.50,-317,11504,492.00,329.00
4507.00,[17:09:45.8143782],9737.00,2670864.00,8394.72,778.26,-317,11248,492.00,329.00
4508.00,[17:09:45.8244777],52241.00,2712240.00,8391.16,812.86,-317,12112,492.00,329.00
4509.00,[17:09:45.8345771],51975.00,2709984.00,8384.89,763.02,-317,12672,492.00,329.00
4510.00,[17:09:45.8446765],36490.00,2693904.00,8383.01,794.78,-317,11696,492.00,329.00
4511.00,[17:09:45.8547759],65843.00,2727504.00,8396.41,798.67,-317,11888,492.00,329.00
4512.00,[17:09:45.8648753],46792.00,2712112.00,8407.95,792.49,-317,12144,492.00,329.00
4513.00,[17:09:45.8749748],45659.00,2707344.00,8396.48,792.35,-317,11792,492.00,329.00
4514.00,[17:09:45.8850742],12752.00,2658768.00,8347.05,802.89,-317,12080,492.00,329.00
4515.00,[17:09:45.8951736],24809.00,2674704.00,8359.29,804.51,-317,11280,492.00,329.00
4516.00,[17:09:45.9052730],47467.00,2710080.00,8399.41,818.22,-317,12928,492.00,329.00
4517.00,[17:09:45.9153724],54105.00,2711648.00,8383.42,796.88,-317,12672,492.00,329.00
4518.00,[17:09:45.9254718],53933.00,2716144.00,8398.14,796.92,-317,11472,492.00,329.00
4519.00,[17:09:45.9355712],55557.00,2719504.00,8403.62,785.52,-317,11920,492.00,329.00
4520.00,[17:09:45.9456706],26543.00,110256.00,8371.25,770.32,10,14016,492.00,331.20
4521.00,[17:09:45.9557700],24986.00,108832.00,8384.65,794.93,10,12992,492.00,331.80
4522.00,[17:09:45.9658694],30310.00,2684464.00,8372.72,799.91,-317,11760,492.00,332.00
4523.00,[17:09:45.9759688],31923.00,2690192.00,8385.71,765.64,-317,12272,492.00,332.00
4524.00,[17:09:45.9860682],58137.00,2709392.00,8363.58,810.98,-317,12432,492.00,332.00
4525.00,[17:09:45.9961676],36669.00,2687344.00,8361.75,784.35,-317,11312,492.00,332.00
4526.00,[17:09:46.0062779],33814.00,2695600.00,8396.80,795.43,-317,10896,492.00,332.00
4527.00,[17:09:46.0163773],56551.00,2727568.00,8425.92,794.17,-317,10896,492.00,332.00
4528.00,[17:09:46.0264767],20963.00,2671376.00,8360.93,809.23,-317,11472,492.00,332.00
4529.00,[17:09:46.0365761],73615.00,2739504.00,8409.74,780.61,-317,11536,492.00,332.00
4530.00,[17:09:46.0466755],54162.00,2710384.00,8379.25,787.39,-317,12080,492.00,332.00
4531.00,[17:09:46.0567749],35227.00,2689712.00,8373.77,797.26,-317,11440,492.00,332.00
4532.00,[17:09:46.0668743],37125.00,2689680.00,8367.68,805.61,-317,10960,492.00,332.00
4533.00,[17:09:46.0769737],46937.00,2702448.00,8377.01,801.85,-317,11600,492.00,332.00
4534.00,[17:09:46.0870731],28782.00,2683248.00,8373.71,792.00,-317,11280,492.00,332.00
