# PyMovie Version 3.6.3
# source: D:/#Okultasi/DATA PENGAMATAN/2022-08-08/Sao184652/00_45_01
#
# lunar background: False
# yellow mask = default: False
#
# aperture name: obj
# ____ aperture size: 51
# ____ x,y: (387, 221)
# ____ threshold: 1682
# ____ def mask radius: 3.2
# ____ color: yellow
# ____ joggable: True
# ____ auto textOut: True
# ____ thumbnail source: True
# ____ csv output order: 4
#
# date at frame 0: 2022-08-07
FrameNum,timeInfo,signal-obj,appsum-obj,avgbkg-obj,stdbkg-obj,nmaskpx-obj,maxpx-obj,xcentroid-obj,ycentroid-obj
2500.00,[17:45:26.6063747],100267.00,338464.00,8213.70,815.04,29,17152,374.79,212.03
2501.00,[17:45:26.6164744],105706.00,376880.00,8217.40,818.92,33,14848,374.97,211.82
2502.00,[17:45:26.6265742],100198.00,371632.00,8225.27,826.54,33,14272,374.61,211.94
2503.00,[17:45:26.6366739],129485.00,443488.00,8263.24,830.86,38,22128,374.24,211.29
2504.00,[17:45:26.6467736],167446.00,530336.00,8247.50,836.54,44,24144,374.41,211.70
2505.00,[17:45:26.6568733],161424.00,490224.00,8220.01,832.70,40,26064,374.60,211.93
2506.00,[17:45:26.6669731],165779.00,520096.00,8239.94,827.23,43,17568,374.49,213.28
2507.00,[17:45:26.6770728],166502.00,513936.00,8272.24,818.56,42,19776,374.43,213.40
2508.00,[17:45:26.6871725],163465.00,526320.00,8246.70,820.39,44,21936,374.39,213.48
2509.00,[17:45:26.6972722],130443.00,435632.00,8248.35,815.16,37,18720,373.95,213.03
2510.00,[17:45:26.7073720],171092.00,558928.00,8251.83,825.60,47,19328,373.96,212.55
2511.00,[17:45:26.7174717],175669.00,538624.00,8248.98,843.33,44,20912,373.66,213.11
2512.00,[17:45:26.7275714],133491.00,446272.00,8231.09,808.51,38,19488,374.08,213.11
2513.00,[17:45:26.7376711],89678.00,304112.00,8247.47,829.07,26,16992,374.38,212.81
2514.00,[17:45:26.7477708],104779.00,351040.00,8208.70,821.70,30,16288,374.60,213.27
2515.00,[17:45:26.7578705],87595.00,318288.00,8239.02,812.94,28,15072,374.71,212.89
2516.00,[17:45:26.7679702],89346.00,311408.00,8224.53,825.80,27,15168,374.48,212.63
2517.00,[17:45:26.7780699],66263.00,256240.00,8259.85,813.86,23,13184,374.43,213.61
2518.00,[17:45:26.7881697],53488.00,201776.00,8238.20,787.37,18,13696,374.50,214.00
2519.00,[17:45:26.7982694],40481.00,147792.00,8254.71,812.51,13,14656,374.38,214.62
2520.00,[17:45:26.8083691],63900.00,237280.00,8256.17,822.99,21,15520,374.43,213.52
2521.00,[17:45:26.8184688],106871.00,395488.00,8246.19,821.09,35,18048,374.23,213.40
2522.00,[17:45:26.8285685],120368.00,400528.00,8239.99,834.88,34,19552,374.53,212.85
2523.00,[17:45:26.8386682],179044.00,558544.00,8250.01,828.01,46,20032,374.33,211.89
2524.00,[17:45:26.8487679],249937.00,711024.00,8233.69,824.90,56,21456,374.30,211.82
2525.00,[17:45:26.8588676],256742.00,668592.00,8236.99,829.91,50,23632,373.96,212.24
2526.00,[17:45:26.8689673],221375.00,559920.00,8257.20,810.85,41,31360,374.02,212.80
2527.00,[17:45:26.8790670],191620.00,487472.00,8218.11,828.55,36,28816,374.08,212.97
2528.00,[17:45:26.8891667],156445.00,451648.00,8200.08,819.33,36,22992,374.31,212.47
2529.00,[17:45:26.8992663],141476.00,437120.00,8212.33,817.89,36,20848,374.36,212.28
2530.00,[17:45:26.9093660],133579.00,421104.00,8215.00,811.83,35,18240,373.74,211.23
2531.00,[17:45:26.9194657],169460.00,449648.00,8240.83,798.40,34,29568,373.15,210.41
2532.00,[17:45:26.9295654],224938.00,561376.00,8205.81,799.84,41,38736,373.44,210.41
2533.00,[17:45:26.9396651],228177.00,582416.00,8238.13,816.76,43,32544,373.77,211.23
2534.00,[17:45:26.9497648],180536.00,509936.00,8235.00,835.65,40,23920,373.88,211.62
2535.00,[17:45:26.9598645],145093.00,466368.00,8237.81,839.27,39,18944,374.03,212.62
2536.00,[17:45:26.9699643],101882.00,332704.00,8243.63,820.53,28,18816,373.64,211.57
2537.00,[17:45:26.9800638],76552.00,240816.00,8213.22,807.63,20,20000,373.45,211.15
2538.00,[17:45:26.9901635],57481.00,197632.00,8244.20,797.26,17,16288,373.53,211.12
2539.00,[17:45:27.0002557],75191.00,264288.00,8221.63,833.27,23,16256,373.70,212.00
2540.00,[17:45:27.0103554],57155.00,204752.00,8199.83,816.37,18,14624,373.17,211.28
